timestamp,A2
322,520
323,520
324,520
325,521
326,521
327,521
328,520
329,519
330,519
331,519
332,519
333,519
334,519
335,519
336,519
337,519
338,519
339,519
340,519
341,518
342,518
343,518
344,518
345,518
346,518
347,518
348,517
349,516
350,516
351,516
352,516
353,516
354,516
355,516
356,516
357,517
358,516
359,516
360,516
361,516
362,516
363,516
364,515
365,516
366,515
367,515
368,515
369,514
370,515
371,514
372,514
373,514
374,514
375,515
376,514
377,514
378,514
379,514
380,513
381,513
382,513
383,512
384,512
385,512
386,512
387,512
388,513
389,513
390,512
391,512
392,512
393,512
394,512
395,511
396,511
397,513
398,515
399,519
400,524
401,528
402,532
403,537
404,541
405,546
406,550
407,556
408,559
409,555
410,550
411,539
412,531
413,517
414,505
415,490
416,478
417,461
418,447
419,430
420,416
421,399
422,386
423,369
424,355
425,339
426,326
427,310
428,297
429,281
430,268
431,253
432,242
433,234
434,230
435,227
436,225
437,234
438,243
439,259
440,272
441,291
442,307
443,327
444,346
445,368
446,386
447,408
448,427
449,449
450,469
451,491
452,508
453,529
454,547
455,569
456,585
457,606
458,622
459,643
460,657
461,663
462,667
463,665
464,661
465,654
466,648
467,639
468,631
469,620
470,610
471,598
472,588
473,581
474,575
475,571
476,567
477,563
478,560
479,559
480,557
481,555
482,553
483,552
484,551
485,551
486,550
487,549
488,548
489,547
490,547
491,546
492,546
493,545
494,544
495,544
496,543
497,543
498,542
499,541
500,540
501,540
502,539
503,539
504,538
505,537
506,537
507,536
508,536
509,535
510,534
511,534
512,534
513,533
514,532
515,531
516,530
517,530
518,530
519,529
520,528
521,528
522,528
523,527
524,527
525,526
526,526
527,525
528,524
529,523
530,522
531,521
532,521
533,520
534,520
535,519
536,519
537,519
538,518
539,517
540,516
541,515
542,515
543,514
544,513
545,512
546,511
547,511
548,510
549,509
550,509
551,508
552,508
553,508
554,508
555,507
556,507
557,506
558,505
559,505
560,505
561,503
562,503
563,503
564,502
565,502
566,501
567,500
568,500
569,499
570,499
571,498
572,497
573,497
574,497
575,497
576,496
577,496
578,496
579,495
580,495
581,494
582,495
583,494
584,493
585,493
586,492
587,492
588,492
589,492
590,492
591,492
592,491
593,491
594,491
595,489
596,489
597,489
598,490
599,489
600,489
601,489
602,489
603,489
604,488
605,488
606,488
607,487
608,487
609,487
610,487
611,487
612,486
613,485
614,485
615,485
616,485
617,484
618,484
619,484
620,484
621,484
622,484
623,483
624,483
625,483
626,482
627,483
628,482
629,482
630,483
631,483
632,483
633,483
634,483
635,484
636,484
637,483
638,483
639,482
640,482
641,480
642,480
643,478
644,477
645,476
646,476
647,474
648,473
649,472
650,471
651,470
652,470
653,469
654,469
655,469
656,468
657,468
658,468
659,467
660,468
661,467
662,467
663,467
664,465
665,465
666,465
667,464
668,464
669,465
670,466
671,467
672,468
673,470
674,472
675,474
676,475
677,477
678,479
679,481
680,483
681,485
682,487
683,489
684,490
685,492
686,493
687,494
688,495
689,496
690,497
691,497
692,499
693,500
694,501
695,502
696,504
697,504
